1,Cupcake,Camera,Saw,Mug,Sock,Sausage,Nigiri,Basketball Hoop
2,Battery,Saw,Burger,Sausage,Leaf,Magnifying Glass,Cabbage,Sunglasses
3,Sock,Soda,Magnifying Glass,Burger,Stiletto,Anchor,Sunglasses,Saw
4,American Football,Burger,Leaf,Whistle,Nigiri,Magnifying Glass,Cupcake,Soda
5,Basketball Hoop,Nigiri,Scissors,Cabbage,Sunglasses,Anchor,Biplane,Rainbow
6,Whistle,Camera,Anchor,Sock,Leaf,Playing Card,Mug,Biplane
7,Sunglasses,Factor 12,Rainbow,Cupcake,Sausage,Robot,Cabbage,Biplane
8,Burger,Whistle,Sock,Binoculars,Stiletto,Biplane,Apple Core,Factor 12
9,Nigiri,Hot Air Balloon,Hat,Leaf,Mushroom,Cabbage,Ping Pong,Hammer
10,Clock,Battery,Sausage,Mushroom,Yo-Yo,Saw,Car,Cupcake
11,Car,Sunglasses,Magnifying Glass,Sausage,Biplane,VLC,Saw,Camera
12,Saw,Basketball Hoop,Playing Card,Burger,Scissors,Mushroom,Paint,UFO
13,Hammer,Salami,Anchor,Rainbow,Leaf,UFO,Binoculars,Cupcake
14,Sock,Watch,Car,Nigiri,Soda,VLC,Robot,UFO
15,Apple Core,Camera,Leaf,Stiletto,American Football,Hat,Magnifying Glass,Factor 12
16,Basketball Hoop,Ruler,UFO,Magnifying Glass,Cupcake,Binoculars,Yo-Yo,Salami
17,Mug,Briefcase,Camera,Ruler,Sock,Ping Pong,Battery,Yo-Yo
18,Ping Pong,Matchbox,Magnifying Glass,Mushroom,Briefcase,Mug,Salami,Paint
19,Cupcake,Sock,Mirror,Sausage,Teabag,Paint,Watermelon,Ruler
20,Hot Air Balloon,Burger,Robot,Hammer,Sunglasses,Mushroom,Watermelon,Birthday Cake
21,Briefcase,Hot Air Balloon,Anchor,Car,Salami,Soda,Teabag,American Football
22,Matchbox,Camera,Pizza Wheel,Factor 12,Cupcake,Yo-Yo,UFO,Hammer
23,Whistle,Nigiri,Pizza Wheel,Rainbow,UFO,Binoculars,Briefcase,Birthday Cake
24,Saw,Paint,Birthday Cake,Leaf,Mirror,Teabag,Pizza Wheel,Car
25,Sausage,Mug,Flamingo Ring,Cabbage,Ruler,Birthday Cake,Choc Muffin,Binoculars
26,Mushroom,Burger,Ice Lolly,Mug,Cabbage,Birthday Cake,Camera,Briefcase
27,Leaf,Mushroom,Binoculars,Anchor,Teabag,VLC,Watermelon,Nigiri
28,Sock,Saw,Yo-Yo,Soda,Scissors,Pizza Wheel,Flamingo Ring,Briefcase
29,Mug,Stiletto,Ice Lolly,Ruler,Rainbow,VLC,Watermelon,Basketball Hoop
30,Camera,Choc Muffin,Stiletto,Robot,Teabag,Nigiri,Paint,Flamingo Ring
31,Burger,Soda,Salami,Popcorn,Flamingo Ring,Boiled Egg,Honey,Bus
32,Mug,Yo-Yo,Playing Card,Boiled Egg,Sunglasses,Bus,Choc Muffin,Popcorn
33,Magnifying Glass,Cabbage,Popcorn,Bus,Ping Pong,Choc Muffin,Sweet,Honey
34,Cabbage,Ruler,Pizza Wheel,Paint,Avocado,Boiled Egg,Anchor,Sweet
35,Sunglasses,Boiled Egg,Paint,Avocado,Sweet,Egg & Cress,Watermelon,Soda
36,Robot,Apple Core,Stiletto,Avocado,Flamingo Ring,Bus,Popcorn,Torus
37,Playing Card,Anchor,Rainbow,Torus,Pizza Wheel,Clock,Bowling Pin,Bus
38,Soda,Salami,UFO,Torus,Avocado,Bowling Pin,Honey,Choc Muffin
39,Factor 12,Egg & Cress,Teabag,Yo-Yo,Bone,Choc Muffin,Clock,Boiled Egg
40,Playing Card,Sweet,VLC,Birthday Cake,Flamingo Ring,Choc Muffin,Hot Air Balloon,Avocado
41,Car,Birthday Cake,Clock,UFO,Watermelon,Boiled Egg,Avocado,Apple Core
42,Rainbow,Mushroom,American Football,Flamingo Ring,Salami,Hot Air Balloon,Hat,Bus
43,Robot,Binoculars,Sweet,Birthday Cake,Boiled Egg,Clock,Popcorn,Sunflower
44,Pizza Wheel,Bus,Honey,Briefcase,Hammer,Egg & Cress,Bowling Pin,Bone
45,Apple Core,Ruler,Choc Muffin,Watermelon,Bus,Torus,Egg & Cress,Yo-Yo
46,Binoculars,Torus,Popcorn,Sweet,Apple Core,Honey,Teabag,Matchbox
47,Paint,Mirror,Boiled Egg,Ping Pong,Egg & Cress,Hot Air Balloon,Hammer,Rainbow
48,Salami,Sweet,Hammer,Watch,Egg & Cress,Honey,Bone,Playing Card
49,Briefcase,Popcorn,American Football,Clock,Hammer,Biplane,Playing Card,Hat
50,Teabag,Avocado,Apple Core,Scissors,Bone,Ping Pong,Hat,Birthday Cake
51,Watermelon,Popcorn,Avocado,Battery,Bone,Basketball Hoop,Hat,Egg & Cress
52,Birthday Cake,Bowling Pin,Honey,Apple Core,Ruler,Rainbow,Bone,Mirror
53,Pizza Wheel,Hat,Mirror,Sweet,Egg & Cress,Scissors,Basketball Hoop,Biplane
54,Flamingo Ring,Torus,Mirror,Battery,Scissors,Matchbox,Biplane,Bone
55,Matchbox,Apple Core,Ruler,Playing Card,Mirror,Basketball Hoop,Ping Pong,Egg & Cress
